Name,Description,Image,DNA,edition,Date,Artist,Type,Accessories,Manufacturer,Compiler,Developer
CSM #12,Non-Fungible Cyborg-Assassins Symbolizing the Fight for The Open Metaverse.,https://mint.etherminators.com/media/png/12,6724dcebfc6dad3ca0df6c2865898d3454460fdf,12,1635280546707,alwoenie,Male Humanoid,"Mustache, Vampire_Hair, Cigar",Cryptodyne Systems,HashLips Art Engine - @NFTChef Fork,NFTChef
CSM #73,Non-Fungible Cyborg-Assassins Symbolizing the Fight for The Open Metaverse.,https://mint.etherminators.com/media/png/73,4b6485419102c46246e70bf1114803c66f1ff970,73,1635281342938,alwoenie,Female Humanoid,"Eyes_Blue_Terminate, Purple_Lipstick, Bald, Mole",Cryptodyne Systems,HashLips Art Engine - @NFTChef Fork,NFTChef
CSM #75,Non-Fungible Cyborg-Assassins Symbolizing the Fight for The Open Metaverse.,https://mint.etherminators.com/media/png/75,a225e64daf391c224df3fe7c2a1996aa883dab3c,75,1635280876343,alwoenie,Female Humanoid,"Rosy_Cheeks, Red_Mohawk, 3D_Glasses, Cigar",Cryptodyne Systems,HashLips Art Engine - @NFTChef Fork,NFTChef
CSM #17,Non-Fungible Cyborg-Assassins Symbolizing the Fight for The Open Metaverse.,https://mint.etherminators.com/media/png/17,c39dc9d3a96440def18941fa05abe168e91ef5d3,17,1635281109456,alwoenie,Female Humanoid,"Purple_Lipstick, Earring, Pink_With_Hat, Laser_Shades",Cryptodyne Systems,HashLips Art Engine - @NFTChef Fork,NFTChef
CSM #33,Non-Fungible Cyborg-Assassins Symbolizing the Fight for The Open Metaverse.,https://mint.etherminators.com/media/png/33,65a54782d0ffd4a23949c8392631caaa0e54f925,33,1635280637484,alwoenie,Male Humanoid,"Horseshoe_Dark, Captains_Cap, Cigar",Cryptodyne Systems,HashLips Art Engine - @NFTChef Fork,NFTChef
CSM #39,Non-Fungible Cyborg-Assassins Symbolizing the Fight for The Open Metaverse.,https://mint.etherminators.com/media/png/39,4f043cac91567264e23c47bae7bcafb271acaef4,39,1635280433299,alwoenie,Male Humanoid,"Rosy_Cheeks, Luxurious_Beard, Amish_Hat",Cryptodyne Systems,HashLips Art Engine - @NFTChef Fork,NFTChef
CSM #72,Non-Fungible Cyborg-Assassins Symbolizing the Fight for The Open Metaverse.,https://mint.etherminators.com/media/png/72,fc8dd7cc53f2dcadeb401b9c324ac335b894ba30,72,1635280777508,alwoenie,Male Humanoid,"Cowboy_Hat, Vape",Cryptodyne Systems,HashLips Art Engine - @NFTChef Fork,NFTChef
CSM #11,Non-Fungible Cyborg-Assassins Symbolizing the Fight for The Open Metaverse.,https://mint.etherminators.com/media/png/11,f80c346e90f87fc707062bbb9a2a9ed5357304b9,11,1635280703824,alwoenie,Male Humanoid,"Smile, Trenchcoat, Front_Beard, Brown_Fedora",Cryptodyne Systems,HashLips Art Engine - @NFTChef Fork,NFTChef
CSM #16,Non-Fungible Cyborg-Assassins Symbolizing the Fight for The Open Metaverse.,https://mint.etherminators.com/media/png/16,746522287db4253cb57b0a8a6447505835798eb6,16,1635280028162,alwoenie,Male Humanoid,"Mustache, Brown_Fedora, Clown_Nose",Cryptodyne Systems,HashLips Art Engine - @NFTChef Fork,NFTChef
CSM #21,Non-Fungible Cyborg-Assassins Symbolizing the Fight for The Open Metaverse.,https://mint.etherminators.com/media/png/21,c1c5028ed56575fb5403608d9ecd2cb7192e8502,21,1635280862576,alwoenie,Female Humanoid,"Hot_Lipstick, Knitted_Cap",Cryptodyne Systems,HashLips Art Engine - @NFTChef Fork,NFTChef
CSM #19,Non-Fungible Cyborg-Assassins Symbolizing the Fight for The Open Metaverse.,https://mint.etherminators.com/media/png/19,46dc7dab6b05cdd5390ad0f177f82c5da89c469e,19,1635280347870,alwoenie,Male Humanoid,"Shadow_Beard, Hoodie, Small_Shades",Cryptodyne Systems,HashLips Art Engine - @NFTChef Fork,NFTChef
CSM #22,Non-Fungible Cyborg-Assassins Symbolizing the Fight for The Open Metaverse.,https://mint.etherminators.com/media/png/22,086d67ba07185f5371395715f8dce78606633a38,22,1635279985075,alwoenie,Male Humanoid,"Mole, Gold_Chain, Do_Rag, Laser_Shades",Cryptodyne Systems,HashLips Art Engine - @NFTChef Fork,NFTChef
CSM #55,Non-Fungible Cyborg-Assassins Symbolizing the Fight for The Open Metaverse.,https://mint.etherminators.com/media/png/55,83256b31fbf43b4e383928104743eaa5ba5959ed,55,1635280577838,alwoenie,Male Humanoid,"Army_Helmet, Horned_Rim_Glasses",Cryptodyne Systems,HashLips Art Engine - @NFTChef Fork,NFTChef
CSM #28,Non-Fungible Cyborg-Assassins Symbolizing the Fight for The Open Metaverse.,https://mint.etherminators.com/media/png/28,7cab44c4b2a8c7ee37ff62c580a962849421b37a,28,1635280145871,alwoenie,Male Humanoid,"Normal_Beard_Black, Sombrero, Horned_Rim_Glasses",Cryptodyne Systems,HashLips Art Engine - @NFTChef Fork,NFTChef
CSM #27,Non-Fungible Cyborg-Assassins Symbolizing the Fight for The Open Metaverse.,https://mint.etherminators.com/media/png/27,18a8e66ec6ff38a391d5972f74d6689ddb21fdad,27,1635281058644,alwoenie,Female Humanoid,"Purple_Lipstick, Earring, Knitted_Cap",Cryptodyne Systems,HashLips Art Engine - @NFTChef Fork,NFTChef
CSM #1,Non-Fungible Cyborg-Assassins Symbolizing the Fight for The Open Metaverse.,https://mint.etherminators.com/media/png/1,aa8654a71350f2206977eac51ca15a5823125c90,1,1635280052009,alwoenie,Male Humanoid,"Gold_Chain, Handlebars, Brown_Fedora",Cryptodyne Systems,HashLips Art Engine - @NFTChef Fork,NFTChef
CSM #70,Non-Fungible Cyborg-Assassins Symbolizing the Fight for The Open Metaverse.,https://mint.etherminators.com/media/png/70,a4af30c3cf632028085e176f838d002568ba00b8,70,1635280748050,alwoenie,Male Humanoid,"Mole, Luxurious_Beard, Cowboy_Hat",Cryptodyne Systems,HashLips Art Engine - @NFTChef Fork,NFTChef
CSM #64,Non-Fungible Cyborg-Assassins Symbolizing the Fight for The Open Metaverse.,https://mint.etherminators.com/media/png/64,5af4b0526863a8215bc4563eb1723fc96119f1aa,64,1635281110455,alwoenie,Female Humanoid,"Rosy_Cheeks, Wild_Blonde",Cryptodyne Systems,HashLips Art Engine - @NFTChef Fork,NFTChef
CSM #6,Non-Fungible Cyborg-Assassins Symbolizing the Fight for The Open Metaverse.,https://mint.etherminators.com/media/png/6,3f21acb5227146363b893d48d49bab68884ad5bc,6,1635280646470,alwoenie,Male Humanoid,"Muttonchops, Cowboy_Hat, Small_Shades, Cigar",Cryptodyne Systems,HashLips Art Engine - @NFTChef Fork,NFTChef
CSM #9,Non-Fungible Cyborg-Assassins Symbolizing the Fight for The Open Metaverse.,https://mint.etherminators.com/media/png/9,17c98cf8165e33ba41cebe6ce7f496469b3e1f2e,9,1635280299018,alwoenie,Male Humanoid,"Horseshoe, Amish_Hat",Cryptodyne Systems,HashLips Art Engine - @NFTChef Fork,NFTChef
CSM #14,Non-Fungible Cyborg-Assassins Symbolizing the Fight for The Open Metaverse.,https://mint.etherminators.com/media/png/14,21b4f5459eb92960adf2bbcc6370b58f84a02b06,14,1635281172269,alwoenie,Female Humanoid,"Mole, Hoodie",Cryptodyne Systems,HashLips Art Engine - @NFTChef Fork,NFTChef
CSM #26,Non-Fungible Cyborg-Assassins Symbolizing the Fight for The Open Metaverse.,https://mint.etherminators.com/media/png/26,d77907f8c20037a947296e2ab9d63e0b37a30160,26,1635281209238,alwoenie,Female Humanoid,"Purple_Lipstick, Choker, Red_Mohawk",Cryptodyne Systems,HashLips Art Engine - @NFTChef Fork,NFTChef
CSM #46,Non-Fungible Cyborg-Assassins Symbolizing the Fight for The Open Metaverse.,https://mint.etherminators.com/media/png/46,7c6163d82261e48549e52f52fec7443757c6fd12,46,1635280280936,alwoenie,Male Humanoid,"Flat_Cap, Clown_Nose",Cryptodyne Systems,HashLips Art Engine - @NFTChef Fork,NFTChef
CSM #51,Non-Fungible Cyborg-Assassins Symbolizing the Fight for The Open Metaverse.,https://mint.etherminators.com/media/png/51,87306029f0a14d122378964062558cd1797524eb,51,1635281231368,alwoenie,Female Humanoid,"Green_Eye_Shadow, Cap, Cigar",Cryptodyne Systems,HashLips Art Engine - @NFTChef Fork,NFTChef
CSM #59,Non-Fungible Cyborg-Assassins Symbolizing the Fight for The Open Metaverse.,https://mint.etherminators.com/media/png/59,ae89a2f84206452cf1db909318d0b458e5e93113,59,1635279906394,alwoenie,Male Humanoid,"Fedora, 3D_Glasses",Cryptodyne Systems,HashLips Art Engine - @NFTChef Fork,NFTChef
CSM #52,Non-Fungible Cyborg-Assassins Symbolizing the Fight for The Open Metaverse.,https://mint.etherminators.com/media/png/52,a759a8b0b824f4f700db429a4522c50b6704663c,52,1635280989327,alwoenie,Female Humanoid,"Blue_Eye_Shadow, White_Fedoora, 3D_Glasses",Cryptodyne Systems,HashLips Art Engine - @NFTChef Fork,NFTChef
CSM #13,Non-Fungible Cyborg-Assassins Symbolizing the Fight for The Open Metaverse.,https://mint.etherminators.com/media/png/13,c429ea098d3b7a6970d2a83b5a84dadaa0759bad,13,1635281335012,alwoenie,Female Humanoid,"Hot_Lipstick, Messy_Hair",Cryptodyne Systems,HashLips Art Engine - @NFTChef Fork,NFTChef
CSM #24,Non-Fungible Cyborg-Assassins Symbolizing the Fight for The Open Metaverse.,https://mint.etherminators.com/media/png/24,129127692ab149ec95abacff0dea637fffb694c1,24,1635280182934,alwoenie,Male Humanoid,"Cowboy_Hat, Laser_Shades",Cryptodyne Systems,HashLips Art Engine - @NFTChef Fork,NFTChef
CSM #62,Non-Fungible Cyborg-Assassins Symbolizing the Fight for The Open Metaverse.,https://mint.etherminators.com/media/png/62,650e14d6b6acc6b0b967cf3e34ea21870cfc8db2,62,1635280965681,alwoenie,Female Humanoid,"Mole, Straight_Hair_Blonde",Cryptodyne Systems,HashLips Art Engine - @NFTChef Fork,NFTChef
CSM #7,Non-Fungible Cyborg-Assassins Symbolizing the Fight for The Open Metaverse.,https://mint.etherminators.com/media/png/7,2b124487e1a2f4304a9d04302b26654c4ac14f58,7,1635280827044,alwoenie,Male Humanoid,"Sombrero, Clown_Eye_Green",Cryptodyne Systems,HashLips Art Engine - @NFTChef Fork,NFTChef
CSM #35,Non-Fungible Cyborg-Assassins Symbolizing the Fight for The Open Metaverse.,https://mint.etherminators.com/media/png/35,1cfecd79c96a69c1fa37c843acceca4a39b8069c,35,1635279981504,alwoenie,Male Humanoid,"Mohawk_Dark, Cigar",Cryptodyne Systems,HashLips Art Engine - @NFTChef Fork,NFTChef
CSM #18,Non-Fungible Cyborg-Assassins Symbolizing the Fight for The Open Metaverse.,https://mint.etherminators.com/media/png/18,98c0f8eecff38932768c9853f5c51ba1cb4dec97,18,1635280253368,alwoenie,Male Humanoid,"Amish_Beard, Flat_Cap",Cryptodyne Systems,HashLips Art Engine - @NFTChef Fork,NFTChef
CSM #60,Non-Fungible Cyborg-Assassins Symbolizing the Fight for The Open Metaverse.,https://mint.etherminators.com/media/png/60,4470dde5478b6053bdfa3067addc2deee2402984,60,1635280399662,alwoenie,Male Humanoid,"Amish_Beard, Flat_Cap, VR",Cryptodyne Systems,HashLips Art Engine - @NFTChef Fork,NFTChef
CSM #2,Non-Fungible Cyborg-Assassins Symbolizing the Fight for The Open Metaverse.,https://mint.etherminators.com/media/png/2,b78ac8c4109cd0cc2bec6726f6dac3e575039c83,2,1635280802176,alwoenie,Male Humanoid,"Goat, Sombrero",Cryptodyne Systems,HashLips Art Engine - @NFTChef Fork,NFTChef
CSM #48,Non-Fungible Cyborg-Assassins Symbolizing the Fight for The Open Metaverse.,https://mint.etherminators.com/media/png/48,a89b47b2431178b7531710e93737f60d2848bc07,48,1635280185181,alwoenie,Male Humanoid,"Normal_Beard_Black, Messy_Hair, Clown_Eye_Blue",Cryptodyne Systems,HashLips Art Engine - @NFTChef Fork,NFTChef
CSM #30,Non-Fungible Cyborg-Assassins Symbolizing the Fight for The Open Metaverse.,https://mint.etherminators.com/media/png/30,d88e0eb2d5552cdb7e85634886c37e1ab0463de3,30,1635281290495,alwoenie,Female Humanoid,"Blue_Eye_Shadow, Wild_White_Hair",Cryptodyne Systems,HashLips Art Engine - @NFTChef Fork,NFTChef
CSM #0,Non-Fungible Cyborg-Assassins Symbolizing the Fight for The Open Metaverse.,https://mint.etherminators.com/media/png/0,6c0fff2aa187823311cee042299fc8ed8acb984a,0,1635281039228,alwoenie,Female Humanoid,"Earring, Red_Beret",Cryptodyne Systems,HashLips Art Engine - @NFTChef Fork,NFTChef
CSM #76,Non-Fungible Cyborg-Assassins Symbolizing the Fight for The Open Metaverse.,https://mint.etherminators.com/media/png/76,c3bb99df2e2f0212f1b921c174197f957d38f506,76,1635279926077,alwoenie,Male Humanoid,"Luxurious_Beard, Wild_Hair",Cryptodyne Systems,HashLips Art Engine - @NFTChef Fork,NFTChef
CSM #80,Non-Fungible Cyborg-Assassins Symbolizing the Fight for The Open Metaverse.,https://mint.etherminators.com/media/png/80,edac5f805e57bce01ffea8546900b4b3cccba754,80,1635280479209,alwoenie,Male Humanoid,"Gold_Chain, Handlebars, Red_Beret, Classic_Shades",Cryptodyne Systems,HashLips Art Engine - @NFTChef Fork,NFTChef
CSM #81,Non-Fungible Cyborg-Assassins Symbolizing the Fight for The Open Metaverse.,https://mint.etherminators.com/media/png/81,91c9049e150ad51ba1090ae65bf4a7402e8ef863,81,1635280082030,alwoenie,Male Humanoid,"Normal_Beard_Black, Snapback",Cryptodyne Systems,HashLips Art Engine - @NFTChef Fork,NFTChef
CSM #79,Non-Fungible Cyborg-Assassins Symbolizing the Fight for The Open Metaverse.,https://mint.etherminators.com/media/png/79,9432053e6fc3d760263cfacac76b76cec65b94d7,79,1635279913710,alwoenie,Male Humanoid,"Muttonchops, Purple_Hair",Cryptodyne Systems,HashLips Art Engine - @NFTChef Fork,NFTChef
CSM #83,Non-Fungible Cyborg-Assassins Symbolizing the Fight for The Open Metaverse.,https://mint.etherminators.com/media/png/83,74b247c8c3d27c6452f60aac35e7d6bddaedc823,83,1635281175416,alwoenie,Female Humanoid,"Green_Eye_Shadow, Messy_Hair",Cryptodyne Systems,HashLips Art Engine - @NFTChef Fork,NFTChef
CSM #87,Non-Fungible Cyborg-Assassins Symbolizing the Fight for The Open Metaverse.,https://mint.etherminators.com/media/png/87,fd9ff5a0249f483c678943943c601df228c07e25,87,1635281061344,alwoenie,Female Humanoid,"Purple_Eye_Shadow, Straight_Hair_Blonde",Cryptodyne Systems,HashLips Art Engine - @NFTChef Fork,NFTChef
CSM #89,Non-Fungible Cyborg-Assassins Symbolizing the Fight for The Open Metaverse.,https://mint.etherminators.com/media/png/89,a12e9df7a3857c891e3a47c888571dc515b2b4e1,89,1635280335012,alwoenie,Male Humanoid,"Fedora, Safety_Goggles",Cryptodyne Systems,HashLips Art Engine - @NFTChef Fork,NFTChef
CSM #86,Non-Fungible Cyborg-Assassins Symbolizing the Fight for The Open Metaverse.,https://mint.etherminators.com/media/png/86,deeef4e0622a1101ef99c61d656f0287cf1a0cdd,86,1635281141674,alwoenie,Female Humanoid,"Purple_Eye_Shadow, Earring, Messy_Hair",Cryptodyne Systems,HashLips Art Engine - @NFTChef Fork,NFTChef
CSM #112,Non-Fungible Cyborg-Assassins Symbolizing the Fight for The Open Metaverse.,https://mint.etherminators.com/media/png/112,91b26ac81942865e3a4e879fc8ae456a821e5c87,112,1635280964900,alwoenie,Female Humanoid,"Mole, Stringy_Hair",Cryptodyne Systems,HashLips Art Engine - @NFTChef Fork,NFTChef
CSM #37,Non-Fungible Cyborg-Assassins Symbolizing the Fight for The Open Metaverse.,https://mint.etherminators.com/media/png/37,f2278296296d19a0b4c1f212853f3b2ae97a6d98,37,1635280363412,alwoenie,Male Humanoid,"Muttonchops, Flat_Cap, Big_Shades",Cryptodyne Systems,HashLips Art Engine - @NFTChef Fork,NFTChef
CSM #36,Non-Fungible Cyborg-Assassins Symbolizing the Fight for The Open Metaverse.,https://mint.etherminators.com/media/png/36,be9eb0c548afefb53dfd91c8c3965ae4e6fa9821,36,1635280708744,alwoenie,Male Humanoid,"Front_Beard, Brown_Fedora, Eye_Patch",Cryptodyne Systems,HashLips Art Engine - @NFTChef Fork,NFTChef
CSM #38,Non-Fungible Cyborg-Assassins Symbolizing the Fight for The Open Metaverse.,https://mint.etherminators.com/media/png/38,23174593bc67905827ea07b54c04e0a12dabc544,38,1635279940673,alwoenie,Male Humanoid,"Normal_Beard_Black, Red_Beret, Cigar",Cryptodyne Systems,HashLips Art Engine - @NFTChef Fork,NFTChef
CSM #40,Non-Fungible Cyborg-Assassins Symbolizing the Fight for The Open Metaverse.,https://mint.etherminators.com/media/png/40,aa6ab9f27af0ee4ebec0583c516a06e41e6b5892,40,1635280847087,alwoenie,Male Humanoid,"Mustache, Flat_Cap, Classic_Shades",Cryptodyne Systems,HashLips Art Engine - @NFTChef Fork,NFTChef
CSM #41,Non-Fungible Cyborg-Assassins Symbolizing the Fight for The Open Metaverse.,https://mint.etherminators.com/media/png/41,522f9e2671413c4d8a04a278436c79550537d667,41,1635280419043,alwoenie,Male Humanoid,Headband,Cryptodyne Systems,HashLips Art Engine - @NFTChef Fork,NFTChef
CSM #43,Non-Fungible Cyborg-Assassins Symbolizing the Fight for The Open Metaverse.,https://mint.etherminators.com/media/png/43,b2f3eb6034bfae1d3b5cff37d84c47fc6227a3d6,43,1635281063490,alwoenie,Female Humanoid,"Blue_Eye_Shadow, Messy_Hair, Face_Mask",Cryptodyne Systems,HashLips Art Engine - @NFTChef Fork,NFTChef
CSM #42,Non-Fungible Cyborg-Assassins Symbolizing the Fight for The Open Metaverse.,https://mint.etherminators.com/media/png/42,4f3992bf637c1794b2cb2dc24fa1dcc19ea1e898,42,1635280060580,alwoenie,Male Humanoid,Folded_Bandana,Cryptodyne Systems,HashLips Art Engine - @NFTChef Fork,NFTChef
CSM #49,Non-Fungible Cyborg-Assassins Symbolizing the Fight for The Open Metaverse.,https://mint.etherminators.com/media/png/49,fb3b870d5fc48231512c5a7e019efe051b778fd2,49,1635281320730,alwoenie,Female Humanoid,"Purple_Lipstick, Red_Beret",Cryptodyne Systems,HashLips Art Engine - @NFTChef Fork,NFTChef
CSM #54,Non-Fungible Cyborg-Assassins Symbolizing the Fight for The Open Metaverse.,https://mint.etherminators.com/media/png/54,bbb0b81205dd05eeb404f003dbd7f846232d46a4,54,1635281217863,alwoenie,Female Humanoid,"Purple_Lipstick, Folded_Bandana",Cryptodyne Systems,HashLips Art Engine - @NFTChef Fork,NFTChef
CSM #57,Non-Fungible Cyborg-Assassins Symbolizing the Fight for The Open Metaverse.,https://mint.etherminators.com/media/png/57,2f65c2abc5c8aaa221bfea36eabbf9557c0fd1c0,57,1635280086671,alwoenie,Male Humanoid,Beanie,Cryptodyne Systems,HashLips Art Engine - @NFTChef Fork,NFTChef
CSM #50,Non-Fungible Cyborg-Assassins Symbolizing the Fight for The Open Metaverse.,https://mint.etherminators.com/media/png/50,cb90eb32c6451ddb2e4cd94646d5bdb109aa8d23,50,1635280949704,alwoenie,Female Humanoid,Messy_Hair,Cryptodyne Systems,HashLips Art Engine - @NFTChef Fork,NFTChef
CSM #53,Non-Fungible Cyborg-Assassins Symbolizing the Fight for The Open Metaverse.,https://mint.etherminators.com/media/png/53,9152a4408c150842dd22fcc4282d9d3d668f495d,53,1635280168406,alwoenie,Male Humanoid,"Silver_Chain, Shaved_Head, Nerd_Glasses",Cryptodyne Systems,HashLips Art Engine - @NFTChef Fork,NFTChef
CSM #90,Non-Fungible Cyborg-Assassins Symbolizing the Fight for The Open Metaverse.,https://mint.etherminators.com/media/png/90,d74ffae3bc027cde4f439a4e65c2989d0ab031f8,90,1635280971611,alwoenie,Female Humanoid,"Green_Eye_Shadow, Snapback, Laser_Shades",Cryptodyne Systems,HashLips Art Engine - @NFTChef Fork,NFTChef
CSM #91,Non-Fungible Cyborg-Assassins Symbolizing the Fight for The Open Metaverse.,https://mint.etherminators.com/media/png/91,406f4efd5221bf24de0324f9d1c53907bca92961,91,1635280933852,alwoenie,Female Humanoid,"Purple_Eye_Shadow, Silver_Chain, Earring, Messy_Hair, Clown_Eye_Blue",Cryptodyne Systems,HashLips Art Engine - @NFTChef Fork,NFTChef
CSM #58,Non-Fungible Cyborg-Assassins Symbolizing the Fight for The Open Metaverse.,https://mint.etherminators.com/media/png/58,955f21ca934e6aa5b53bfc1b4f3301c102cf42e3,58,1635280854520,alwoenie,Female Humanoid,"Black_Lipstick, Sombrero",Cryptodyne Systems,HashLips Art Engine - @NFTChef Fork,NFTChef
CSM #96,Non-Fungible Cyborg-Assassins Symbolizing the Fight for The Open Metaverse.,https://mint.etherminators.com/media/png/96,7fac0ce144dcea3764b5304eaa81693b2cbe5182,96,1635280175998,alwoenie,Male Humanoid,"Amish_Beard, Stringy_Hair",Cryptodyne Systems,HashLips Art Engine - @NFTChef Fork,NFTChef
CSM #97,Non-Fungible Cyborg-Assassins Symbolizing the Fight for The Open Metaverse.,https://mint.etherminators.com/media/png/97,5b937d6f60be302a9b082ccc63c39944ccda03d3,97,1635281359221,alwoenie,Female Humanoid,"Hot_Lipstick, Frumpy_Hair",Cryptodyne Systems,HashLips Art Engine - @NFTChef Fork,NFTChef
CSM #101,Non-Fungible Cyborg-Assassins Symbolizing the Fight for The Open Metaverse.,https://mint.etherminators.com/media/png/101,2c1701db469f2bf8ed5601892d69f07cebb820f5,101,1635280482450,alwoenie,Male Humanoid,"Shadow_Beard, Folded_Bandana, Messy_Hair, Cigar",Cryptodyne Systems,HashLips Art Engine - @NFTChef Fork,NFTChef
CSM #61,Non-Fungible Cyborg-Assassins Symbolizing the Fight for The Open Metaverse.,https://mint.etherminators.com/media/png/61,9c51699f1c92d8fc6e134d34ae70fd7c96748903,61,1635280411441,alwoenie,Male Humanoid,"Earring, Horseshoe, Cap",Cryptodyne Systems,HashLips Art Engine - @NFTChef Fork,NFTChef
CSM #63,Non-Fungible Cyborg-Assassins Symbolizing the Fight for The Open Metaverse.,https://mint.etherminators.com/media/png/63,c7dbb0f0c474e79f120032c206910d777ff66ed3,63,1635280263279,alwoenie,Male Humanoid,"Trenchcoat, Folded_Bandana, Clown_Eye_Blue",Cryptodyne Systems,HashLips Art Engine - @NFTChef Fork,NFTChef
CSM #67,Non-Fungible Cyborg-Assassins Symbolizing the Fight for The Open Metaverse.,https://mint.etherminators.com/media/png/67,0c39fdc76d4b0c12867a14b8b216a7c402a8706e,67,1635280975012,alwoenie,Female Humanoid,"Blue_Eye_Shadow, Earring, Red_Mohawk",Cryptodyne Systems,HashLips Art Engine - @NFTChef Fork,NFTChef
CSM #106,Non-Fungible Cyborg-Assassins Symbolizing the Fight for The Open Metaverse.,https://mint.etherminators.com/media/png/106,ccf275218239d5e39966062f1322700eb030c033,106,1635280773210,alwoenie,Male Humanoid,"Luxurious_Beard, Headband",Cryptodyne Systems,HashLips Art Engine - @NFTChef Fork,NFTChef
CSM #105,Non-Fungible Cyborg-Assassins Symbolizing the Fight for The Open Metaverse.,https://mint.etherminators.com/media/png/105,835255f2db98511310198d2001a2e306f37ecf68,105,1635280994625,alwoenie,Female Humanoid,"Mole, Pigtails, Cigarette",Cryptodyne Systems,HashLips Art Engine - @NFTChef Fork,NFTChef
CSM #104,Non-Fungible Cyborg-Assassins Symbolizing the Fight for The Open Metaverse.,https://mint.etherminators.com/media/png/104,e8058d5c6ad701579313792eb278a1895ea852b4,104,1635280108751,alwoenie,Male Humanoid,"Gold_Chain, Shadow_Beard, Top_Hat",Cryptodyne Systems,HashLips Art Engine - @NFTChef Fork,NFTChef
CSM #71,Non-Fungible Cyborg-Assassins Symbolizing the Fight for The Open Metaverse.,https://mint.etherminators.com/media/png/71,dd73ca3ec3b342e4e9ff1537a369a1f3585784c8,71,1635281235881,alwoenie,Female Humanoid,"Black_Lipstick, Red_Mohawk, Laser_Shades, Cigar",Cryptodyne Systems,HashLips Art Engine - @NFTChef Fork,NFTChef
